siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,part_plus65,nb_crea_entps,flux_migration_res,niveau_vie,part_diplomes
200030195,Métropole Nice Côte d'Azur,Rassemblement pour la République,MET,PAC-93,http://opendata.nicecotedazur.org/data/organization/metropole-nice-cote-d-azur,64,https://www.data.gouv.fr/fr/organizations/59aea226c751df38f3f6834b/,253,59aea226c751df38f3f6834b,,538769,,,ptf+datagouv,6,23.9,11213,240600585,21460,12
200030195,Métropole Nice Côte d'Azur,Union pour un mouvement populaire,MET,PAC-93,http://opendata.nicecotedazur.org/data/organization/metropole-nice-cote-d-azur,64,https://www.data.gouv.fr/fr/organizations/59aea226c751df38f3f6834b/,253,59aea226c751df38f3f6834b,,538769,,,ptf+datagouv,6,23.9,11213,240600585,21460,12
200039865,Metz Métropole,Union des démocrates et indépendants,MET,GES-44,,,https://www.data.gouv.fr/fr/organizations/53fd1263a3a729390ba568a4,54,53fd1263a3a729390ba568a4,,222146,,,datagouv,57,18.3,2541,245400676,21640,12.1
200040715,Grenoble-Alpes Métropole,Parti socialiste,MET,ARA-84,http://data.metropolegrenoble.fr/ckan/dataset?organization=grenoble-alpes-metropole,12,https://www.data.gouv.fr/fr/organizations/5732ff7788ee382b08d1b934,16,5732ff7788ee382b08d1b934,,433000,,,ptf+datagouv,38,17.7,6273,200018166,22720,17.6
200046977,METROPOLE DE LYON,Europe Écologie Europe Écologie Europe Écologie Les Verts,MET,ARA-84,https://data.grandlyon.com/recherche?responsibleParty.organisationName=M%C3%A9tropole%20de%20Lyon,631,https://www.data.gouv.fr/fr/organizations/534fff7aa3a7292c64a77e0c,517,534fff7aa3a7292c64a77e0c,,1371000,,,ptf+datagouv,69,16.2,28918,200054781,22480,18.1
200054807,Métropole d'Aix-Marseille-Provence,Démocratie libérale,MET,PAC-93,https://trouver.datasud.fr/organization/metropole-daix-marseille-provence,17,,,,,1895600,,,ptf,13,19.7,31158,200054781,21480,12.3
200054807,Métropole d'Aix-Marseille-Provence,Les Républicains,MET,PAC-93,https://trouver.datasud.fr/organization/metropole-daix-marseille-provence,17,,,,,1895600,,,ptf,13,19.7,31158,200054781,21480,12.3
200054807,Métropole d'Aix-Marseille-Provence,Union pour la démocratie française,MET,PAC-93,https://trouver.datasud.fr/organization/metropole-daix-marseille-provence,17,,,,,1895600,,,ptf,13,19.7,31158,200054781,21480,12.3
200054807,Métropole d'Aix-Marseille-Provence,Union pour un mouvement populaire,MET,PAC-93,https://trouver.datasud.fr/organization/metropole-daix-marseille-provence,17,,,,,1895600,,,ptf,13,19.7,31158,200054781,21480,12.3
200054807,Métropole d'Aix-Marseille-Provence,républicains indépendants,MET,PAC-93,https://trouver.datasud.fr/organization/metropole-daix-marseille-provence,17,,,,,1895600,,,ptf,13,19.7,31158,200054781,21480,12.3
200067213,CU GRAND REIMS,Divers Droite,CU,GES-44,,,https://www.data.gouv.fr/fr/organizations/5aabc0ecc751df25cba8382b/,1,5aabc0ecc751df25cba8382b,,294426,,,datagouv,51,17.1,3431,200054781,21690,10.4
200069854,CU DU GRAND POITIERS,Divers Gauche,CU,NAQ-75,https://data.grandpoitiers.fr/explore/?refine.publisher=Grand+Poitiers+,89,https://www.data.gouv.fr/fr/organizations/54da1f52c751df59f7467389,215,54da1f52c751df59f7467389,Grand Poitiers,191073,,,ptf+datagouv,86,18.3,1991,200069763,21530,12.2
200084952,CU LE HAVRE SEINE METROPOLE,Sans étiquette,CU,NOR-28,https://data.lehavreseinemetropole.fr/#,157,https://www.data.gouv.fr/fr/organizations/59bfa079c751df6dad38dc0d/,49,59bfa079c751df6dad38dc0d,,236133,,,ptf+datagouv,76,19.3,2397,200010700,21100,6.9
242900314,Brest Métropole,Parti socialiste,MET,BRE-53,https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=Brest+métropole,210,https://www.data.gouv.fr/fr/organizations/534fff5ba3a7292c64a77d19,5,534fff5ba3a7292c64a77d19,,209722,48.390528,-4.486009,ptf+datagouv,29,17.8,1826,242900074,21660,12.2
